 Dato;Sykkel;Timer
 2022-06-01;B-09;4.5
 2022-06-01;B-05;5.0
 2022-06-01;B-04;2.0
 2022-06-01;B-01;2.0
 2022-06-01;B-04;3.0
 2022-06-01;B-05;3.5
 2022-06-02;B-10;4.0
 2022-06-02;B-05;5.5
 2022-06-02;B-03;2.5
 2022-06-02;B-08;5.0
 2022-06-02;B-03;5.5
 2022-06-02;B-03;2.0
 2022-06-02;B-05;4.0
 2022-06-02;B-08;5.5
 2022-06-03;B-05;5.0
 2022-06-03;B-02;4.0
 2022-06-03;B-04;3.0
 2022-06-03;B-03;2.5
 2022-06-03;B-01;4.5
 2022-06-03;B-04;4.5
 2022-06-03;B-01;2.0
 2022-06-04;B-09;3.0
 2022-06-04;B-06;5.0
 2022-06-04;B-08;4.5
 2022-06-04;B-02;5.5
 2022-06-04;B-05;5.5
 2022-06-04;B-06;2.0
 2022-06-04;B-07;4.5
 2022-06-04;B-07;5.0
 2022-06-04;B-04;2.0
 2022-06-05;B-10;3.0
 2022-06-05;B-08;3.5
 2022-06-05;B-02;2.5
 2022-06-05;B-03;2.0
 2022-06-05;B-08;2.5
 2022-06-05;B-08;3.0
 2022-06-05;B-05;4.0
 2022-06-05;B-07;4.5
 2022-06-05;B-05;5.0
 2022-06-05;B-06;2.5
 2022-06-05;B-08;4.0
 2022-06-05;B-09;3.5
 2022-06-05;B-01;3.5
 2022-06-05;B-08;2.0
 2022-06-06;B-03;4.5
 2022-06-06;B-08;5.0
 2022-06-06;B-05;3.0
 2022-06-06;B-02;5.5
 2022-06-06;B-04;2.5
 2022-06-06;B-10;5.0
 2022-06-06;B-01;5.5
 2022-06-06;B-03;3.5
 2022-06-06;B-05;4.5
 2022-06-06;B-01;4.5
 2022-06-06;B-08;4.0
 2022-06-06;B-03;4.5
 2022-06-06;B-09;4.0
 2022-06-06;B-09;5.0
 2022-06-06;B-06;3.0
 2022-06-07;B-10;5.5
 2022-06-07;B-01;4.0
 2022-06-07;B-09;4.5
 2022-06-07;B-09;2.5
 2022-06-07;B-01;3.0
 2022-06-07;B-05;5.0
 2022-06-07;B-01;3.5
 2022-06-07;B-05;4.0
 2022-06-07;B-03;2.5
 2022-06-07;B-05;4.0
 2022-06-07;B-02;5.5
 2022-06-07;B-09;3.0
 2022-06-07;B-02;2.0
 2022-06-08;B-03;5.5
 2022-06-08;B-05;5.5
 2022-06-08;B-07;3.5
 2022-06-08;B-04;2.5
 2022-06-08;B-01;3.0
 2022-06-08;B-07;5.5
 2022-06-09;B-07;3.5
 2022-06-09;B-01;4.5
 2022-06-09;B-07;5.5
 2022-06-09;B-06;5.5
 2022-06-09;B-10;4.0
 2022-06-09;B-02;3.0
 2022-06-09;B-04;3.5
 2022-06-09;B-05;5.0
 2022-06-10;B-07;5.5
 2022-06-10;B-10;4.5
 2022-06-10;B-10;2.5
 2022-06-10;B-06;4.5
 2022-06-10;B-02;2.0
 2022-06-10;B-08;2.0
 2022-06-10;B-08;4.0
 2022-06-11;B-08;2.0
 2022-06-11;B-10;3.0
 2022-06-11;B-09;5.5
 2022-06-11;B-01;5.5
 2022-06-11;B-06;2.0
 2022-06-11;B-08;5.0
 2022-06-11;B-08;3.0
 2022-06-11;B-01;2.0
 2022-06-11;B-10;4.5
 2022-06-12;B-09;2.0
 2022-06-12;B-03;2.0
 2022-06-12;B-06;3.0
 2022-06-12;B-06;2.0
 2022-06-12;B-03;2.5
 2022-06-12;B-10;5.5
 2022-06-12;B-06;5.5
 2022-06-12;B-08;4.0
 2022-06-12;B-08;4.5
 2022-06-12;B-04;4.0
 2022-06-12;B-01;5.5
 2022-06-12;B-10;5.5
 2022-06-12;B-09;3.5
 2022-06-12;B-10;2.5
 2022-06-13;B-02;4.5
 2022-06-13;B-09;5.5
 2022-06-13;B-08;2.0
 2022-06-13;B-03;5.5
 2022-06-13;B-07;2.5
 2022-06-13;B-03;5.5
 2022-06-13;B-09;4.0
 2022-06-13;B-02;4.0
 2022-06-13;B-02;4.0
 2022-06-13;B-07;4.5
 2022-06-13;B-10;3.0
 2022-06-13;B-09;4.0
 2022-06-13;B-06;4.5
 2022-06-13;B-05;3.0
 2022-06-13;B-02;2.5
 2022-06-14;B-05;2.5
